timestamp,Target1,Target2,Target3,Target4,Target5,Target6,Target7,Target8,Target9,Target10
1424725201000,783007,668747,745378,1000000,530574,528314,549792,1412703,1008530,366645
1424726101000,783289,669024,745728,1000000,530812,528526,550133,1413446,1008755,366770
1424727001000,783585,669302,746124,1000000,531166,528755,550442,1414330,1009013,366919
1424727901000,783792,669454,746472,1000000,531453,528916,550713,1414957,1009196,367019
1424728801000,783792,669454,746472,1000000,531453,528916,550713,1414957,1009196,367019
1424729701000,784075,669686,746995,1000000,531827,529112,551156,1416002,1009334,367208
1424730601000,784075,669686,746995,1000000,531827,529112,551156,1416002,1009334,367208
1424731501000,784275,670574,748255,1000000,532302,529388,552139,1418176,1009649,367585
1424732401000,784548,670805,748934,1000000,532421,529530,552478,1418962,1009839,367798
1424733301000,784548,670805,748934,1000000,532421,529530,552478,1418962,1009839,367798
1424734201000,784999,671180,749594,1000000,532592,529764,552879,1419893,1010025,368008
1424735101000,785236,671382,750112,1000000,532806,529937,553153,1420671,1010208,368185
1424736001000,785518,671718,750746,1000000,533155,530060,553747,1421641,1010420,368365
1424736901000,785901,672071,751796,1000000,533702,530339,554828,1422844,1010730,368688
1424737801000,786301,672613,752640,1000000,533930,530663,555625,1423674,1011083,368974
1424738701000,786741,673215,753433,1000000,534193,530968,556186,1424694,1011390,369297
1424739601000,787286,673778,753948,1000000,534549,531364,556791,1425343,1011733,369623
1424740501000,787788,674357,754682,1000000,534809,531709,557509,1426678,1012163,369997
1424741401000,788571,674867,755517,1000000,535160,532048,558325,1428011,1012637,370388
1424742301000,789416,675626,756595,1000000,535820,532429,559407,1429826,1013267,370860
1424743201000,790030,676399,757708,1000000,536406,532768,560176,1430572,1013840,371210
1424744101000,790616,677403,758809,1000000,537281,533162,560918,1432244,1014397,371722
1424745001000,791163,678270,759959,1000000,538044,533586,561496,1433394,1014890,372218
1424745901000,791766,678958,760827,1000000,538503,534045,562155,1434976,1015459,372602
1424746801000,791766,678958,760827,1000000,538503,534045,562155,1434976,1015459,372602
1424747701000,792487,679945,762045,1000000,539585,534748,563103,1436746,1016234,373164
1424748601000,793072,680893,763062,1000000,540430,535251,563745,1437832,1016888,373489
1424749501000,793637,681776,764046,1000000,541102,535616,564614,1439174,1017453,373815
1424750401000,794384,682678,765093,1000000,541705,536037,565339,1440441,1017866,374169
1424751301000,795166,683654,766079,1000000,542173,536441,566229,1441699,1018333,374656
1424752201000,795957,684995,767770,1000000,543067,536979,567666,1443182,1019030,375441
1424753101000,796871,685903,768913,1000000,543850,537583,568780,1444293,1019709,376102
1424754001000,798011,687362,770459,1000000,544854,538189,569909,1445967,1020584,377021
1424754901000,798819,689055,771726,1000000,545568,539132,571328,1447435,1021419,377625
1424755801000,799695,690591,772749,1000000,546359,539650,572844,1448928,1022174,378092
1424756701000,799695,690591,772749,1000000,546359,539650,572844,1448928,1022174,378092
1424757601000,800664,692275,773801,1000000,547596,540139,574109,1450206,1022965,378703
1424758501000,802552,694903,775300,1000000,548672,540966,576169,1452215,1024005,379596
1424759401000,804762,696295,776226,1000000,549570,541892,577517,1453776,1024896,380411
1424760301000,806740,697352,777310,1000000,550489,542813,578568,1455574,1025639,381279
1424761201000,808184,698671,778230,1000000,551729,543656,579650,1457307,1026420,382153
1424762101000,809548,700176,779580,1000000,553005,544615,580523,1458720,1027260,382902
1424763001000,811334,701752,781845,1000000,554338,546028,582978,1460557,1028284,383592
1424763901000,812632,702613,783319,1000000,555301,547145,584332,1462036,1029102,384652
1424764801000,813831,703443,784723,1000000,556479,548302,585732,1463654,1029950,385325
1424765701000,815340,704597,786223,1000000,557934,549113,587257,1465583,1030921,386155
1424766601000,817564,706605,788083,1000000,559082,550285,588850,1468175,1032200,387138
1424767501000,819458,708301,789286,1000000,559881,551093,590109,1470261,1033079,388137
1424768401000,821181,709850,790520,1000000,560658,552169,591480,1472356,1033768,389023
1424769301000,822641,710970,791906,1000000,562097,553530,592618,1474423,1034774,389860
1424770201000,823595,712138,793139,1000000,563462,554507,593772,1476177,1035437,390577
1424771101000,823595,712138,793139,1000000,563462,554507,593772,1476177,1035437,390577
1424772001000,824563,713189,794420,1000000,564745,555453,594860,1478264,1036164,391385
1424772901000,825775,715341,796072,1000000,566734,556964,596378,1480726,1037076,392574
1424773801000,826996,716728,797211,1000000,568196,557947,597684,1482789,1037758,393342
1424774701000,828636,718102,798304,1000000,569907,559037,599230,1484950,1038577,394122
1424775601000,830886,719307,799557,1000000,571147,560327,600823,1487237,1039335,394709
1424776501000,833419,720968,801316,1000000,572233,561744,602650,1489972,1040264,396176
1424777401000,836532,723420,803652,1000000,574027,563481,605432,1494438,1041442,397525
1424778301000,839824,725435,806063,1000000,576298,565084,607487,1497868,1042561,398697
1424779201000,843560,727397,808618,1000000,578776,567101,610212,1501978,1044079,400256
1424780101000,847572,730036,810928,1000000,581098,569716,613142,1506541,1045915,402030
1424781001000,851493,732979,813604,1000000,583711,573397,616627,1509851,1047782,404113
1424781901000,856507,736175,816919,1000000,587342,577343,620800,1517713,1050098,406767
1424782801000,861635,740162,820885,1000000,592490,582229,624733,1524707,1052795,409789
1424783701000,868647,745893,827033,1000000,598818,590549,630367,1534651,1056842,414477
1424784601000,875235,750229,831181,1000000,603972,596439,635113,1542882,1060658,418083
1424785501000,880615,755018,834948,1000000,611857,602621,641324,1551319,1064294,421965
1424786401000,880615,755018,834948,1000000,611857,602621,641324,1551319,1064294,421965
1424787301000,885968,759781,839258,1000000,622149,608693,647553,1559365,1068001,426017
1424788201000,891870,764132,843147,1000000,631257,614177,654265,1567617,1070637,430050
1424789101000,899314,769193,847784,1000000,641292,622127,662798,1578332,1075944,434972
1424790001000,905334,772299,850711,1000000,648717,627851,669002,1586155,1081575,438173
1424790901000,910312,775209,853660,1000000,655933,632853,674932,1594220,1085345,441228
1424791801000,915089,778603,857384,1000000,662737,638370,680422,1602196,1089842,444668
1424792701000,918110,781328,859608,1000000,665778,641984,683425,1607831,1092474,447347
1424793601000,920834,783916,861339,1000000,668311,645494,685710,1612872,1094764,449642
1424794501000,924444,787115,863327,1000000,671694,649728,688515,1617460,1097459,452060
1424795401000,926930,789164,864638,1000000,674303,652104,690103,1622559,1099103,453447
1424796301000,926930,789164,864638,1000000,674303,652104,690103,1622559,1099103,453447
1424797201000,930297,790717,866001,1000000,676099,654101,691645,1625189,1100466,454378
1424798101000,933712,791621,867402,1000000,677433,655741,693118,1627589,1101525,455305
1424799001000,937174,793291,869103,1000000,678690,657458,695463,1630661,1102755,456114
1424799901000,938792,794311,869986,1000000,679655,658668,696840,1632417,1103522,456914
1424800801000,940150,795297,870732,1000000,680516,659297,697807,1633819,1104108,457525
1424801701000,941345,795980,871560,1000000,681391,660093,698492,1635112,1104499,458090
1424802601000,942736,796560,872160,1000000,681970,660922,699072,1636215,1105021,458513
1424803502000,944116,797246,872969,1000000,682798,661753,699881,1637418,1105501,458971
1424804401000,945015,797763,873696,1000000,683648,662218,700520,1638468,1105950,459404
1424805301000,945676,798225,874335,1000000,684357,662807,701134,1639323,1106329,459787
1424806201000,946357,798657,874716,1000000,684793,663303,701669,1640148,1106605,460329
1424807101000,947247,798900,875540,1000000,685203,663768,702101,1640955,1106914,460765
1424808001000,947807,799370,876433,1000000,685619,664361,702828,1641806,1107170,461224
1424808901000,947988,799717,876991,1000000,686242,664717,703265,1642418,1107441,461481
1424809801000,947988,799717,876991,1000000,686242,664717,703265,1642418,1107441,461481
1424810701000,948321,800186,877716,1000000,686782,665203,704010,1643506,1107734,461721
1424811601000,948848,800392,878202,1000000,687047,665597,704609,1644007,1107997,461862
1424812501000,949378,800527,878638,1000000,687451,665880,705017,1644703,1108188,462130
1424813401000,949761,801055,879182,1000000,687897,666284,705716,1645758,1108372,462376
1424814301000,950054,801402,879604,1000000,688125,666495,706192,1646373,1108493,462507
1424815201000,950347,801644,879987,1000000,688305,666639,706583,1647207,1108671,462692
1424816101000,950548,801835,880373,1000000,688538,666823,706980,1647989,1108772,462868
1424817001000,950686,801956,880865,1000000,688909,667267,707451,1649071,1108874,463122
1424817901000,950813,802173,881236,1000000,689018,667605,708058,1649793,1108998,463342
1424818801000,950813,802173,881236,1000000,689018,667605,708058,1649793,1108998,463342
1424819701000,951024,802389,881728,1000000,689132,667883,708344,1650583,1109145,463537
1424820601000,951402,802666,882310,1000000,689262,668063,708720,1651325,1109253,463728
1424821501000,951882,803136,882937,1000000,689546,668214,709152,1651989,1109529,464000
1424822401000,952626,803501,883914,1000000,689930,668537,709675,1653042,1109742,464335
1424823301000,953103,803797,884712,1000000,690177,668758,709984,1653908,1109985,464476
1424824201000,953615,804133,885398,1000000,690345,669074,710418,1654838,1110165,464695
1424825101000,954336,805176,886459,1000000,690657,669673,711194,1656036,1110539,465047
1424826001000,954934,806056,887417,1000000,691189,670188,711632,1657101,1110826,465414
1424826901000,955580,806845,888615,1000000,691845,670924,712121,1658221,1111096,465665
1424827801000,956675,807751,889623,1000000,692576,671531,712660,1659450,1111398,465959
1424828701000,957990,808977,890571,1000000,693381,672145,713191,1660679,1111736,466353
1424829601000,959579,810586,891716,1000000,694157,673363,714023,1662413,1112362,466844
1424830501000,959579,810586,891716,1000000,694157,673363,714023,1662413,1112362,466844
1424831401000,960465,811579,892839,1000000,694736,674115,714712,1663885,1112762,467198
1424832301000,961829,812304,893963,1000000,695361,674974,715665,1665375,1113256,467560
1424833201000,963588,813101,895078,1000000,695969,675740,716662,1666564,1113768,467972
1424834101000,965660,813873,895800,1000000,696471,676381,717752,1667706,1114126,468413
1424835001000,967940,815210,896658,1000000,697827,677459,719185,1669137,1114741,468879
1424835901000,969729,816687,897190,1000000,698634,678319,719903,1670417,1115301,469207
1424836801000,971310,818314,897922,1000000,699476,679209,720733,1671751,1115664,469668
1424837701000,973619,820003,898872,1000000,700229,680321,721718,1673197,1116054,470142
1424838601000,976584,822188,900282,1000000,701581,681698,722912,1675115,1116722,470674
1424839501000,978690,823708,901432,1000000,702367,682926,723784,1676467,1117158,471162
1424840401000,980769,825201,902911,1000000,703000,683888,724373,1677859,1117697,471708
1424841301000,982807,826925,904342,1000000,703645,684860,725843,1679088,1118173,472351
1424842201000,985187,828835,905983,1000000,704250,685885,727515,1680627,1118894,472973
1424843101000,987868,830759,907762,1000000,705101,686791,728898,1681809,1119523,473619
1424844001000,991878,833484,909589,1000000,706084,688206,730267,1683624,1120331,474400
1424844901000,991878,833484,909589,1000000,706084,688206,730267,1683624,1120331,474400
1424845801000,995494,835858,910899,1000000,706593,689319,731164,1685205,1120964,474929
1424846701000,999484,837819,912368,1000000,707402,690341,732112,1686682,1121649,475592
1424847601000,999484,837819,912368,1000000,707402,690341,732112,1686682,1121649,475592
1424848501000,999484,837819,912368,1000000,707402,690341,732112,1686682,1121649,475592
1424849401000,999484,837819,912368,1000000,707402,690341,732112,1686682,1121649,475592
1424850301000,999484,837819,912368,1000000,707402,690341,732112,1686682,1121649,475592
1424851201000,999484,837819,912368,1000000,707402,690341,732112,1686682,1121649,475592
1424852101000,999484,837819,912368,1000000,707402,690341,732112,1686682,1121649,475592
1424853001000,999484,837819,912368,1000000,707402,690341,732112,1686682,1121649,475592
1424853901000,999484,837819,912368,1000000,707402,690341,732112,1686682,1121649,475592
